Aeg (GMT)	Hsig (m)
18.10.2016 10:00	0.24
18.10.2016 10:05	0.23
18.10.2016 10:10	0.21
18.10.2016 10:15	0.27
18.10.2016 10:20	0.24
18.10.2016 10:25	0.23
18.10.2016 10:30	0.24
18.10.2016 10:35	0.21
18.10.2016 10:40	0.19
18.10.2016 10:45	0.25
18.10.2016 10:50	0.26
18.10.2016 10:55	0.25
18.10.2016 11:00	0.24
18.10.2016 11:05	0.23
18.10.2016 11:10	0.23
18.10.2016 11:15	0.26
18.10.2016 11:20	0.40
18.10.2016 11:25	0.22
18.10.2016 11:30	0.23
18.10.2016 11:35	0.20
18.10.2016 11:40	0.19
18.10.2016 11:45	0.20
18.10.2016 11:50	0.21
18.10.2016 11:55	0.21
18.10.2016 12:00	0.21
18.10.2016 12:05	0.19
18.10.2016 12:10	0.19
18.10.2016 12:15	0.36
18.10.2016 12:20	0.30
18.10.2016 12:25	0.25
18.10.2016 12:30	0.23
18.10.2016 12:35	0.22
18.10.2016 12:40	0.20
18.10.2016 12:45	0.20
18.10.2016 12:50	0.22
18.10.2016 12:55	0.21
18.10.2016 13:00	0.21
18.10.2016 13:05	0.19
18.10.2016 13:10	0.20
18.10.2016 13:15	0.20
18.10.2016 13:20	0.20
18.10.2016 13:25	0.23
18.10.2016 13:30	0.23
18.10.2016 13:35	0.21
18.10.2016 13:40	0.22
18.10.2016 13:45	0.20
18.10.2016 13:50	0.23
18.10.2016 13:55	0.21
18.10.2016 14:00	0.24
18.10.2016 14:05	0.48
18.10.2016 14:10	0.25
18.10.2016 14:15	0.21
18.10.2016 14:20	0.37
18.10.2016 14:25	0.31
18.10.2016 14:30	0.31
18.10.2016 14:35	0.26
18.10.2016 14:40	0.25
18.10.2016 14:45	0.23
18.10.2016 14:50	0.23
18.10.2016 14:55	0.23
18.10.2016 15:00	0.25
18.10.2016 15:05	0.24
18.10.2016 15:10	0.22
18.10.2016 15:15	0.24
18.10.2016 15:20	0.22
18.10.2016 15:25	0.20
18.10.2016 15:30	0.30
18.10.2016 15:35	0.43
18.10.2016 15:40	0.24
18.10.2016 15:45	0.28
18.10.2016 15:50	0.25
18.10.2016 15:55	0.25
18.10.2016 16:00	0.26
18.10.2016 16:05	0.21
18.10.2016 16:10	0.22
18.10.2016 16:15	0.26
18.10.2016 16:20	0.24
18.10.2016 16:25	0.20
18.10.2016 16:30	0.22
18.10.2016 16:35	0.23
18.10.2016 16:40	0.20
18.10.2016 16:45	0.20
18.10.2016 16:50	0.17
18.10.2016 16:55	0.16
18.10.2016 17:00	0.18
18.10.2016 17:05	0.17
18.10.2016 17:10	0.19
18.10.2016 17:15	0.23
18.10.2016 17:20	0.27
18.10.2016 17:25	0.22
18.10.2016 17:30	0.20
18.10.2016 17:35	0.22
18.10.2016 17:40	0.19
18.10.2016 17:45	0.22
18.10.2016 17:50	0.19
18.10.2016 17:55	0.18
18.10.2016 18:00	0.22
18.10.2016 18:05	0.21
18.10.2016 18:10	0.27
18.10.2016 18:15	0.29
18.10.2016 18:20	0.25
18.10.2016 18:25	0.23
18.10.2016 18:30	0.28
18.10.2016 18:35	0.26
18.10.2016 18:40	0.25
18.10.2016 18:45	0.28
18.10.2016 18:50	0.26
18.10.2016 18:55	0.26
18.10.2016 19:00	0.27
18.10.2016 19:05	0.27
18.10.2016 19:10	0.27
18.10.2016 19:15	0.26
18.10.2016 19:20	0.28
18.10.2016 19:25	0.24
18.10.2016 19:30	0.26
18.10.2016 19:35	0.26
18.10.2016 19:40	0.25
18.10.2016 19:45	0.28
18.10.2016 19:50	0.29
18.10.2016 19:55	0.28
18.10.2016 20:00	0.22
18.10.2016 20:05	0.25
18.10.2016 20:10	0.27
18.10.2016 20:15	0.26
18.10.2016 20:20	0.26
18.10.2016 20:25	0.24
18.10.2016 20:30	0.25
18.10.2016 20:35	0.27
18.10.2016 20:40	0.24
18.10.2016 20:45	0.28
18.10.2016 20:50	0.29
18.10.2016 20:55	0.27
18.10.2016 21:00	0.26
18.10.2016 21:05	0.28
18.10.2016 21:10	0.28
18.10.2016 21:15	0.25
18.10.2016 21:20	0.28
18.10.2016 21:25	0.41
18.10.2016 21:30	0.45
18.10.2016 21:35	0.28
18.10.2016 21:40	0.29
18.10.2016 21:45	0.29
18.10.2016 21:50	0.27
18.10.2016 21:55	0.30
18.10.2016 22:00	0.26
18.10.2016 22:05	0.24
18.10.2016 22:10	0.25
