RecDate  RecTime	Hsig (m)
18.10.2016 00:04	0.24
18.10.2016 00:09	0.21
18.10.2016 00:14	0.20
18.10.2016 00:19	0.24
18.10.2016 00:24	0.24
18.10.2016 00:29	0.25
18.10.2016 00:34	0.22
18.10.2016 00:39	0.21
18.10.2016 00:44	0.24
18.10.2016 00:49	0.27
18.10.2016 00:54	0.26
18.10.2016 00:59	0.28
18.10.2016 01:04	0.26
18.10.2016 01:09	0.24
18.10.2016 01:14	0.26
18.10.2016 01:19	0.25
18.10.2016 01:24	0.25
18.10.2016 01:29	0.24
18.10.2016 01:34	0.22
18.10.2016 01:39	0.24
18.10.2016 01:44	0.24
18.10.2016 01:49	0.22
18.10.2016 01:54	0.22
18.10.2016 01:59	0.23
18.10.2016 02:04	0.23
18.10.2016 02:09	0.22
18.10.2016 02:14	0.21
18.10.2016 02:19	0.22
18.10.2016 02:24	0.19
18.10.2016 02:29	0.21
18.10.2016 02:34	0.19
18.10.2016 02:39	0.17
18.10.2016 02:44	0.18
18.10.2016 02:49	0.17
18.10.2016 02:54	0.19
18.10.2016 02:59	0.17
18.10.2016 03:04	0.19
18.10.2016 03:09	0.20
18.10.2016 03:14	0.17
18.10.2016 03:19	0.17
18.10.2016 03:24	0.17
18.10.2016 03:29	0.15
18.10.2016 03:34	0.16
18.10.2016 03:39	0.18
18.10.2016 03:44	0.16
18.10.2016 03:49	0.16
18.10.2016 03:54	0.16
18.10.2016 03:59	0.17
18.10.2016 04:04	0.17
18.10.2016 04:09	0.19
18.10.2016 04:14	0.18
18.10.2016 04:19	0.18
18.10.2016 04:24	0.18
18.10.2016 04:29	0.17
18.10.2016 04:34	0.15
18.10.2016 04:39	0.17
18.10.2016 04:44	0.17
18.10.2016 04:49	0.16
18.10.2016 04:54	0.15
18.10.2016 04:59	0.15
18.10.2016 05:04	0.18
18.10.2016 05:09	0.16
18.10.2016 05:14	0.29
18.10.2016 05:19	0.57
18.10.2016 05:24	0.23
18.10.2016 05:29	0.27
18.10.2016 05:34	0.24
18.10.2016 05:39	0.19
18.10.2016 05:44	0.19
18.10.2016 05:49	0.21
18.10.2016 05:54	0.17
18.10.2016 05:59	0.17
18.10.2016 06:04	0.18
18.10.2016 06:09	0.14
18.10.2016 06:14	0.14
18.10.2016 06:19	0.38
18.10.2016 06:24	0.38
18.10.2016 06:29	0.32
18.10.2016 06:34	0.28
18.10.2016 06:39	0.22
18.10.2016 06:44	0.21
18.10.2016 06:49	0.18
18.10.2016 06:54	0.18
18.10.2016 06:59	0.18
18.10.2016 07:04	0.16
18.10.2016 07:09	0.18
18.10.2016 07:14	0.19
18.10.2016 07:19	0.19
18.10.2016 07:24	0.17
18.10.2016 07:29	0.18
18.10.2016 07:34	0.18
18.10.2016 07:39	0.18
18.10.2016 07:44	0.24
18.10.2016 07:49	0.33
18.10.2016 07:54	0.30
18.10.2016 07:59	0.25
18.10.2016 08:04	0.27
18.10.2016 08:09	0.35
18.10.2016 08:14	0.50
18.10.2016 08:19	0.25
18.10.2016 08:24	0.29
18.10.2016 08:29	0.34
